Advertiser verticals,Ad requests,Matched requests,Coverage,Clicks,Ad request CTR,CTR,Ad CTR,CPC (THB),Ad request eCPM (THB),Matched eCPM (THB),Lift,Estimated revenue (THB),Ad impressions,Ad eCPM (THB),Active view measurable,Active view viewable,Active view enabled impressions,Active view measured impressions,Active view viewed impressions,Average viewable time (secs)
(unknown),26616455.00,36.00,0.00,1.00,0.00,0.03,0.03,2.31,0.00,64.20,0.00,2.31,36.00,64.20,1.00,0.47,36.00,36.00,17.00,15.67
Apparel,4595.00,4595.00,1.00,104.00,0.02,0.02,0.02,2.91,65.87,65.87,2.05,302.69,4476.00,67.62,1.00,0.56,4476.00,4475.00,2524.00,9.01
Arts & Entertainment,78538.00,78538.00,1.00,130.00,0.00,0.00,0.00,42.61,70.52,70.52,1.50,5538.69,69861.00,79.28,1.00,0.53,69861.00,69844.00,36859.00,7.79
Autos & Vehicles,112708.00,112708.00,1.00,552.00,0.00,0.00,0.01,12.55,61.45,61.45,6.54,6926.09,107349.00,64.52,1.00,0.51,107343.00,107316.00,54644.00,8.30
Beauty & Personal Care,38062.00,38062.00,1.00,2921.00,0.08,0.08,0.08,0.84,64.64,64.64,2.15,2460.46,35753.00,68.82,1.00,0.59,35753.00,35744.00,20995.00,8.34
Business & Industrial,60356.00,60356.00,1.00,567.00,0.01,0.01,0.01,5.04,47.39,47.39,0.70,2860.27,42217.00,67.75,1.00,0.56,42217.00,42209.00,23436.00,8.27
Computers & Consumer Electronics,102618.00,102618.00,1.00,189.00,0.00,0.00,0.00,13.59,25.02,25.02,0.00,2567.68,38491.00,66.71,1.00,1.00,38491.00,38480.00,38586.00,6.91
Dining & Nightlife,2636.00,2636.00,1.00,6.00,0.00,0.00,0.00,26.96,61.37,61.37,4.71,161.78,2491.00,64.94,1.00,0.48,2491.00,2491.00,1185.00,7.35
Family & Community,23577.00,23577.00,1.00,410.00,0.02,0.02,0.02,3.98,69.25,69.25,2.84,1632.74,22666.00,72.03,1.00,0.53,22666.00,22653.00,11959.00,9.19
Finance,26114.00,26114.00,1.00,158.00,0.01,0.01,0.01,9.05,54.77,54.77,0.89,1430.28,21031.00,68.01,1.00,0.53,21031.00,21030.00,11084.00,8.87
Food & Groceries,2877.00,2877.00,1.00,24.00,0.01,0.01,0.01,8.25,68.81,68.81,1.70,197.97,2787.00,71.03,1.00,0.53,2787.00,2787.00,1489.00,8.81
Health,1389.00,1389.00,1.00,26.00,0.02,0.02,0.02,3.50,65.53,65.53,7.31,91.02,1359.00,66.97,1.00,0.53,1359.00,1359.00,724.00,12.60
"Hobbies, Games & Leisure",737.00,737.00,1.00,8.00,0.01,0.01,0.01,5.99,65.07,65.07,1.24,47.96,714.00,67.17,1.00,0.54,714.00,714.00,388.00,8.69
Home & Garden,3833.00,3833.00,1.00,51.00,0.01,0.01,0.01,5.00,66.50,66.50,7.44,254.89,3739.00,68.17,1.00,0.56,3739.00,3738.00,2109.00,9.51
Internet & Telecom,8622.00,8622.00,1.00,72.00,0.01,0.01,0.01,7.68,64.13,64.13,1.82,552.90,8182.00,67.57,1.00,0.52,8182.00,8176.00,4212.00,8.66
Jobs & Education,13718.00,13718.00,1.00,80.00,0.01,0.01,0.01,8.01,46.69,46.69,1.38,640.47,9585.00,66.82,1.00,0.58,9585.00,9585.00,5572.00,5.42
Law & Government,429.00,429.00,1.00,6.00,0.01,0.01,0.01,4.83,67.60,67.60,45.71,29.00,416.00,69.72,1.00,0.58,416.00,416.00,242.00,7.46
Mobile Apps,234.00,234.00,1.00,2.00,0.01,0.01,0.01,8.06,68.89,68.89,313.50,16.12,219.00,73.61,1.00,0.46,219.00,219.00,100.00,8.79
"News, Books & Publications",772.00,772.00,1.00,12.00,0.02,0.02,0.02,4.43,68.89,68.89,11.78,53.18,741.00,71.77,1.00,0.54,741.00,741.00,401.00,7.37
Occasions & Gifts,86.00,86.00,1.00,2.00,0.02,0.02,0.02,2.82,65.52,65.52,0.00,5.63,84.00,67.08,1.00,0.42,84.00,84.00,35.00,6.00
Real Estate,12420.00,12420.00,1.00,475.00,0.04,0.04,0.04,1.74,66.44,66.44,4.70,825.15,12171.00,67.80,1.00,0.52,12171.00,12171.00,6363.00,10.27
Sports & Fitness,20223.00,20223.00,1.00,872.00,0.04,0.04,0.05,1.50,64.51,64.51,1.71,1304.57,19346.00,67.43,1.00,0.56,19346.00,19340.00,10893.00,7.78
Travel & Tourism,164973.00,164973.00,1.00,1158.00,0.01,0.01,0.01,9.25,64.94,64.94,2.19,10713.48,154023.00,69.56,1.00,0.51,154023.00,153990.00,78990.00,7.98