Bid ranges (gross),Bids,Average bid CPM (gross) (THB),Estimated earnings from bids (THB),Impressions won,Winning bid CPM (gross) (THB),Close CPM (THB),Win %
THB 811.99 - THB 815.17,20.00,814.48,2.61,18.00,814.53,145.25,0.90
THB 815.17 - THB 818.36,25.00,816.93,2.62,22.00,817.01,119.08,0.88
THB 818.36 - THB 821.54,15.00,820.95,1.21,14.00,820.79,86.17,0.93
THB 821.54 - THB 824.72,13.00,824.68,1.45,10.00,824.31,144.99,0.77
THB 824.72 - THB 827.91,18.00,827.22,2.48,17.00,827.20,145.71,0.94
THB 827.91 - THB 831.09,17.00,830.60,1.83,15.00,830.57,122.00,0.88
THB 831.09 - THB 834.28,24.00,834.16,2.67,24.00,834.16,111.14,1.00
THB 834.28 - THB 837.46,27.00,836.67,2.54,26.00,836.73,97.55,0.96
THB 837.46 - THB 840.65,14.00,840.83,1.08,13.00,840.85,83.20,0.93
THB 840.65 - THB 843.83,22.00,843.56,3.81,22.00,843.56,173.27,1.00
THB 843.83 - THB 847.01,25.00,846.00,1.92,24.00,846.01,80.02,0.96
THB 847.01 - THB 850.20,21.00,849.88,5.15,19.00,850.10,271.02,0.90
THB 850.20 - THB 853.38,18.00,852.82,2.31,18.00,852.82,128.49,1.00
THB 853.38 - THB 856.57,14.00,854.79,1.06,13.00,854.80,81.71,0.93
THB 856.57 - THB 859.75,17.00,859.60,2.38,17.00,859.60,140.23,1.00
THB 859.75 - THB 862.94,20.00,862.28,3.25,19.00,862.33,171.08,0.95
THB 862.94 - THB 866.12,21.00,865.26,1.92,20.00,865.24,95.95,0.95
THB 866.12 - THB 869.30,17.00,869.09,1.57,17.00,869.09,92.47,1.00
THB 869.30 - THB 872.49,18.00,872.09,1.99,16.00,871.86,124.53,0.89
THB 872.49 - THB 875.67,17.00,875.11,2.77,17.00,875.11,163.11,1.00
THB 875.67 - THB 878.86,25.00,878.95,3.16,23.00,878.95,137.44,0.92
THB 878.86 - THB 882.04,11.00,881.00,2.06,11.00,881.00,187.29,1.00
THB 882.04 - THB 885.23,14.00,884.06,0.99,11.00,884.21,89.75,0.79
THB 885.23 - THB 888.41,12.00,887.81,2.47,12.00,887.81,205.79,1.00
THB 888.41 - THB 891.59,19.00,891.28,3.42,18.00,891.31,189.92,0.95
THB 891.59 - THB 894.78,19.00,893.97,2.77,19.00,893.97,145.96,1.00
THB 894.78 - THB 897.96,12.00,897.23,1.23,12.00,897.23,102.42,1.00
THB 897.96 - THB 901.15,19.00,900.49,3.12,19.00,900.49,163.98,1.00
THB 901.15 - THB 904.33,19.00,904.37,1.82,18.00,904.52,100.91,0.95
THB 904.33 - THB 907.52,25.00,906.98,2.25,23.00,907.06,97.93,0.92
THB 907.52 - THB 910.70,368.00,911.57,37.66,352.00,911.55,107.00,0.96
THB 910.70 - THB 913.88,174.00,911.96,15.13,170.00,911.92,88.97,0.98
THB 913.88 - THB 917.07,11.00,916.97,1.71,11.00,916.97,155.47,1.00
THB 917.07 - THB 920.25,13.00,919.99,1.80,13.00,919.99,138.25,1.00
THB 920.25 - THB 923.44,13.00,922.92,2.79,13.00,922.92,214.57,1.00
THB 923.44 - THB 926.62,10.00,925.64,1.35,10.00,925.64,135.40,1.00
THB 926.62 - THB 929.81,18.00,929.44,1.79,18.00,929.44,99.20,1.00
THB 929.81 - THB 932.99,20.00,933.15,2.85,20.00,933.15,142.29,1.00
THB 932.99 - THB 936.17,18.00,935.91,2.26,18.00,935.91,125.62,1.00
THB 936.17 - THB 939.36,36.00,939.40,3.90,35.00,939.32,111.30,0.97
THB 939.36 - THB 942.54,47.00,942.05,6.54,46.00,942.08,142.13,0.98
THB 942.54 - THB 945.73,42.00,944.87,4.57,41.00,944.90,111.35,0.98
THB 945.73 - THB 948.91,15.00,948.81,2.92,14.00,948.65,208.69,0.93
THB 948.91 - THB 952.10,19.00,951.95,2.18,17.00,951.81,128.50,0.89
THB 952.10 - THB 955.28,18.00,954.36,2.22,18.00,954.36,123.44,1.00
THB 955.28 - THB 958.46,21.00,957.68,4.11,21.00,957.68,195.70,1.00
THB 958.46 - THB 961.65,21.00,961.27,2.23,21.00,961.27,106.30,1.00
THB 961.65 - THB 964.83,8.00,963.21,0.62,8.00,963.21,77.51,1.00
THB 964.83 - THB 968.02,17.00,967.06,2.37,17.00,967.06,139.38,1.00
THB 968.02 - THB 971.20,8.00,970.57,1.87,8.00,970.57,233.54,1.00
THB 971.20 - THB 974.39,12.00,974.29,1.04,12.00,974.29,86.67,1.00
THB 974.39 - THB 977.57,13.00,977.57,1.17,12.00,977.42,97.44,0.92
THB 977.57 - THB 980.75,8.00,981.20,2.02,8.00,981.20,252.31,1.00
THB 980.75 - THB 983.94,14.00,982.17,1.61,14.00,982.17,114.72,1.00
THB 983.94 - THB 987.12,11.00,986.40,1.06,11.00,986.40,96.58,1.00
THB 987.12 - THB 990.31,8.00,989.65,0.51,8.00,989.65,63.75,1.00
THB 990.31 - THB 993.49,10.00,993.31,1.29,10.00,993.31,129.43,1.00
THB 993.49 - THB 996.68,9.00,996.69,1.15,8.00,997.05,144.03,0.89
THB 996.68 - THB 999.86,12.00,999.65,1.07,10.00,998.96,106.90,0.83
"THB 999.86 - THB 1,003.04",12.00,1003.14,0.83,12.00,1003.14,69.15,1.00
"THB 1,003.04 - THB 1,006.23",12.00,1007.46,1.55,10.00,1007.84,155.30,0.83
"THB 1,006.23 - THB 1,009.41",9.00,1008.92,0.93,9.00,1008.92,103.03,1.00
"THB 1,009.41 - THB 1,012.60",12.00,1012.62,2.32,12.00,1012.62,193.41,1.00
"THB 1,012.60 - THB 1,015.78",8.00,1016.26,0.38,8.00,1016.26,47.84,1.00
"THB 1,015.78 - THB 1,018.97",12.00,1018.32,0.62,11.00,1018.30,56.44,0.92
"THB 1,018.97 - THB 1,022.15",8.00,1021.86,0.99,8.00,1021.86,123.59,1.00
"THB 1,022.15 - THB 1,025.33",5.00,1025.17,0.63,5.00,1025.17,126.83,1.00
"THB 1,025.33 - THB 1,028.52",9.00,1028.04,1.45,8.00,1027.77,181.01,0.89
"THB 1,028.52 - THB 1,031.70",8.00,1031.20,0.94,7.00,1030.70,134.85,0.88
"THB 1,031.70 - THB 1,034.89",3.00,1037.46,0.13,3.00,1037.46,42.59,1.00
"THB 1,034.89 - THB 1,038.07",10.00,1036.86,1.23,9.00,1036.70,136.13,0.90
"THB 1,038.07 - THB 1,041.26",7.00,1042.60,0.48,7.00,1042.60,68.11,1.00
"THB 1,041.26 - THB 1,044.44",8.00,1043.51,0.92,8.00,1043.51,115.25,1.00
"THB 1,044.44 - THB 1,047.62",11.00,1046.28,1.30,11.00,1046.28,117.85,1.00
"THB 1,047.62 - THB 1,050.81",9.00,1049.45,0.63,8.00,1049.13,78.77,0.89
"THB 1,050.81 - THB 1,053.99",9.00,1054.13,1.45,8.00,1054.22,181.05,0.89
"THB 1,053.99 - THB 1,057.18",14.00,1057.12,1.69,14.00,1057.12,120.79,1.00
"THB 1,057.18 - THB 1,060.36",14.00,1060.63,1.97,13.00,1060.48,151.83,0.93
"THB 1,060.36 - THB 1,063.54",11.00,1064.04,1.45,11.00,1064.04,131.52,1.00
"THB 1,063.54 - THB 1,066.73",13.00,1066.92,1.31,12.00,1066.73,109.32,0.92
"THB 1,066.73 - THB 1,069.91",8.00,1069.29,1.09,8.00,1069.29,136.07,1.00
"THB 1,069.91 - THB 1,073.10",13.00,1073.23,2.61,13.00,1073.23,200.72,1.00
"THB 1,073.10 - THB 1,076.28",5.00,1077.57,0.57,5.00,1077.57,114.07,1.00
"THB 1,076.28 - THB 1,079.47",15.00,1078.24,1.78,13.00,1078.34,136.79,0.87
"THB 1,079.47 - THB 1,082.65",13.00,1081.78,1.79,13.00,1081.78,137.75,1.00
"THB 1,082.65 - THB 1,085.83",14.00,1085.21,1.54,12.00,1085.50,128.07,0.86
"THB 1,085.83 - THB 1,089.02",15.00,1088.78,2.06,15.00,1088.78,137.50,1.00
"THB 1,089.02 - THB 1,092.20",9.00,1093.28,0.99,9.00,1093.28,109.93,1.00
"THB 1,092.20 - THB 1,095.39",5.00,1096.24,0.59,4.00,1095.89,148.37,0.80
"THB 1,095.39 - THB 1,098.57",7.00,1099.11,0.82,7.00,1099.11,117.46,1.00
"THB 1,098.57 - THB 1,101.76",9.00,1100.05,2.10,8.00,1099.85,262.12,0.89
"THB 1,101.76 - THB 1,104.94",9.00,1105.04,1.16,9.00,1105.04,128.80,1.00
"THB 1,104.94 - THB 1,108.12",13.00,1106.96,2.79,13.00,1106.96,214.83,1.00
"THB 1,108.12 - THB 1,111.31",4.00,1110.18,0.19,3.00,1110.21,63.73,0.75
"THB 1,111.31 - THB 1,114.49",17.00,1113.70,1.67,17.00,1113.70,98.28,1.00
"THB 1,114.49 - THB 1,117.68",7.00,1117.08,1.33,7.00,1117.08,189.87,1.00
"THB 1,117.68 - THB 1,120.86",11.00,1122.04,2.15,10.00,1122.46,214.72,0.91
"THB 1,120.86 - THB 1,124.05",4.00,1122.98,1.08,4.00,1122.98,268.82,1.00
"THB 1,124.05 - THB 1,127.23",5.00,1127.32,0.49,4.00,1127.40,122.61,0.80
"THB 1,127.23 - THB 1,130.41",9.00,1131.01,2.14,9.00,1131.01,237.39,1.00
"THB 1,130.41 - THB 1,133.60",7.00,1133.45,1.11,7.00,1133.45,158.63,1.00
"THB 1,133.60 - THB 1,136.78",10.00,1136.51,1.60,10.00,1136.51,160.28,1.00
"THB 1,136.78 - THB 1,139.97",8.00,1138.89,1.01,8.00,1138.89,126.25,1.00
"THB 1,139.97 - THB 1,143.15",4.00,1143.46,1.15,4.00,1143.46,287.64,1.00
"THB 1,143.15 - THB 1,146.34",12.00,1145.19,1.65,11.00,1145.31,149.74,0.92
"THB 1,146.34 - THB 1,149.52",10.00,1150.37,1.19,8.00,1149.75,149.06,0.80
"THB 1,149.52 - THB 1,152.70",6.00,1154.19,0.85,5.00,1153.93,169.98,0.83
"THB 1,152.70 - THB 1,155.89",9.00,1156.41,1.37,9.00,1156.41,151.85,1.00
"THB 1,155.89 - THB 1,159.07",6.00,1160.06,0.25,4.00,1158.81,63.73,0.67
"THB 1,159.07 - THB 1,162.26",9.00,1162.36,1.15,9.00,1162.36,127.98,1.00
"THB 1,162.26 - THB 1,165.44",7.00,1165.23,1.29,7.00,1165.23,184.92,1.00
"THB 1,165.44 - THB 1,168.63",8.00,1167.59,1.11,8.00,1167.59,138.54,1.00
"THB 1,168.63 - THB 1,171.81",10.00,1172.63,1.42,10.00,1172.63,141.78,1.00
"THB 1,171.81 - THB 1,174.99",4.00,1175.52,1.62,4.00,1175.52,405.07,1.00
"THB 1,174.99 - THB 1,178.18",11.00,1177.39,2.75,11.00,1177.39,250.03,1.00
"THB 1,178.18 - THB 1,181.36",130.00,1179.97,19.69,130.00,1179.97,151.48,1.00
"THB 1,181.36 - THB 1,184.55",11.00,1184.04,1.96,11.00,1184.04,178.22,1.00
"THB 1,184.55 - THB 1,187.73",7.00,1186.18,1.01,7.00,1186.18,144.31,1.00
"THB 1,187.73 - THB 1,190.92",36.00,1191.16,4.08,35.00,1191.07,116.65,0.97
"THB 1,190.92 - THB 1,194.10",6.00,1192.93,0.38,6.00,1192.93,62.71,1.00
"THB 1,194.10 - THB 1,197.28",10.00,1197.50,1.50,10.00,1197.50,150.45,1.00
"THB 1,197.28 - THB 1,200.47",11.00,1200.54,2.22,9.00,1201.09,246.46,0.82
"THB 1,200.47 - THB 1,203.65",5.00,1203.38,1.05,5.00,1203.38,210.76,1.00
"THB 1,203.65 - THB 1,206.84",8.00,1207.94,1.04,8.00,1207.94,129.50,1.00
"THB 1,206.84 - THB 1,210.02",7.00,1209.08,1.50,7.00,1209.08,213.81,1.00
"THB 1,210.02 - THB 1,213.21",10.00,1211.95,1.45,10.00,1211.95,145.50,1.00
"THB 1,213.21 - THB 1,216.39",12.00,1215.62,1.06,11.00,1215.68,95.94,0.92
"THB 1,216.39 - THB 1,219.57",8.00,1219.25,0.80,8.00,1219.25,100.04,1.00
"THB 1,219.57 - THB 1,222.76",13.00,1222.59,2.01,13.00,1222.59,154.49,1.00
"THB 1,222.76 - THB 1,225.94",9.00,1226.61,1.42,7.00,1227.03,202.57,0.78
"THB 1,225.94 - THB 1,229.13",6.00,1227.98,0.23,4.00,1227.70,57.38,0.67
"THB 1,229.13 - THB 1,232.31",8.00,1231.37,1.17,8.00,1231.37,146.56,1.00
"THB 1,232.31 - THB 1,235.50",6.00,1234.76,0.19,4.00,1234.37,47.82,0.67
"THB 1,235.50 - THB 1,238.68",8.00,1238.59,0.58,8.00,1238.59,72.89,1.00
"THB 1,238.68 - THB 1,241.86",2.00,1242.94,0.13,2.00,1242.94,63.79,1.00
"THB 1,241.86 - THB 1,245.05",7.00,1245.20,0.71,7.00,1245.20,101.91,1.00
"THB 1,245.05 - THB 1,248.23",8.00,1248.88,2.38,8.00,1248.88,298.01,1.00
"THB 1,248.23 - THB 1,251.42",6.00,1250.96,0.43,6.00,1250.96,71.80,1.00
"THB 1,251.42 - THB 1,254.60",4.00,1254.74,0.32,2.00,1252.95,160.23,0.50
"THB 1,254.60 - THB 1,257.79",7.00,1258.20,1.25,7.00,1258.20,178.55,1.00
"THB 1,257.79 - THB 1,260.97",3.00,1263.25,0.19,3.00,1263.25,63.83,1.00
"THB 1,260.97 - THB 1,264.15",3.00,1265.20,0.74,3.00,1265.20,245.12,1.00
"THB 1,264.15 - THB 1,267.34",5.00,1267.73,0.61,5.00,1267.73,122.95,1.00
"THB 1,267.34 - THB 1,270.52",7.00,1271.68,0.77,7.00,1271.68,109.33,1.00
"THB 1,270.52 - THB 1,273.71",12.00,1273.71,2.63,11.00,1273.96,238.94,0.92
"THB 1,273.71 - THB 1,276.89",22.00,1277.03,6.48,22.00,1277.03,294.48,1.00
"THB 1,276.89 - THB 1,280.08",4.00,1280.65,0.58,4.00,1280.65,144.46,1.00
"THB 1,280.08 - THB 1,283.26",8.00,1283.06,2.75,8.00,1283.06,343.83,1.00
"THB 1,283.26 - THB 1,286.44",2.00,1286.98,0.34,2.00,1286.98,167.83,1.00
"THB 1,286.44 - THB 1,289.63",6.00,1289.68,1.63,6.00,1289.68,272.24,1.00
"THB 1,289.63 - THB 1,292.81",5.00,1293.88,0.54,4.00,1293.26,136.18,0.80
"THB 1,292.81 - THB 1,296.00",12.00,1295.54,1.66,10.00,1294.92,166.42,0.83
"THB 1,296.00 - THB 1,299.18",6.00,1300.63,0.42,3.00,1298.15,138.54,0.50
"THB 1,299.18 - THB 1,302.36",2.00,1302.89,0.13,2.00,1302.89,63.76,1.00
"THB 1,302.36 - THB 1,305.55",8.00,1306.18,1.34,7.00,1306.35,190.90,0.88
"THB 1,305.55 - THB 1,308.73",5.00,1306.62,1.03,5.00,1306.62,206.86,1.00
"THB 1,308.73 - THB 1,311.92",9.00,1312.21,1.52,9.00,1312.21,169.13,1.00
"THB 1,311.92 - THB 1,315.10",3.00,1314.13,1.90,3.00,1314.13,631.70,1.00
"THB 1,315.10 - THB 1,318.29",8.00,1317.80,0.59,8.00,1317.80,73.25,1.00
"THB 1,318.29 - THB 1,321.47",8.00,1322.98,1.52,5.00,1322.84,303.38,0.63
"THB 1,321.47 - THB 1,324.65",6.00,1323.43,0.81,6.00,1323.43,135.44,1.00
"THB 1,324.65 - THB 1,327.84",9.00,1328.80,0.83,8.00,1328.55,103.18,0.89
"THB 1,327.84 - THB 1,331.02",5.00,1330.19,1.00,5.00,1330.19,200.94,1.00
"THB 1,331.02 - THB 1,334.21",8.00,1333.41,0.60,6.00,1333.48,100.51,0.75
"THB 1,334.21 - THB 1,337.39",3.00,1336.70,0.49,3.00,1336.70,162.42,1.00
"THB 1,337.39 - THB 1,340.58",8.00,1340.07,2.56,8.00,1340.07,320.01,1.00
"THB 1,340.58 - THB 1,343.76",3.00,1343.87,1.43,3.00,1343.87,477.95,1.00
"THB 1,343.76 - THB 1,346.94",7.00,1347.40,0.85,7.00,1347.40,121.84,1.00
"THB 1,346.94 - THB 1,350.13",7.00,1349.50,1.65,7.00,1349.50,236.27,1.00
"THB 1,350.13 - THB 1,353.31",2.00,1352.45,0.68,2.00,1352.45,339.04,1.00
"THB 1,353.31 - THB 1,356.50",11.00,1356.46,1.77,11.00,1356.46,160.68,1.00
"THB 1,356.50 - THB 1,359.68",3.00,1358.28,1.32,3.00,1358.28,441.12,1.00
"THB 1,359.68 - THB 1,362.87",7.00,1362.99,0.75,7.00,1362.99,107.09,1.00
"THB 1,362.87 - THB 1,366.05",7.00,1365.31,0.92,7.00,1365.31,131.60,1.00
"THB 1,366.05 - THB 1,369.23",5.00,1369.27,1.99,5.00,1369.27,397.59,1.00
"THB 1,369.23 - THB 1,372.42",8.00,1372.81,1.66,8.00,1372.81,207.06,1.00
"THB 1,372.42 - THB 1,375.60",8.00,1375.07,0.64,8.00,1375.07,80.23,1.00
"THB 1,375.60 - THB 1,378.79",6.00,1378.11,1.30,6.00,1378.11,217.13,1.00
"THB 1,378.79 - THB 1,381.97",3.00,1382.07,0.14,2.00,1383.32,70.03,0.67
"THB 1,381.97 - THB 1,385.16",7.00,1385.32,1.54,7.00,1385.32,220.61,1.00
"THB 1,385.16 - THB 1,388.34",3.00,1387.57,0.95,3.00,1387.57,318.22,1.00
"THB 1,388.34 - THB 1,391.52",5.00,1389.71,1.20,5.00,1389.71,239.22,1.00
"THB 1,391.52 - THB 1,394.71",3.00,1392.67,0.26,3.00,1392.67,87.56,1.00
"THB 1,394.71 - THB 1,397.89",9.00,1397.73,0.76,9.00,1397.73,84.50,1.00
"THB 1,397.89 - THB 1,401.08",1.00,1400.69,0.06,1.00,1400.69,63.69,1.00
"THB 1,401.08 - THB 1,404.26",3.00,1405.33,0.06,2.00,1405.13,31.95,0.67
"THB 1,404.26 - THB 1,407.45",7.00,1407.04,1.21,7.00,1407.04,172.77,1.00
"THB 1,407.45 - THB 1,410.63",6.00,1411.82,0.91,6.00,1411.82,151.46,1.00
"THB 1,410.63 - THB 1,413.81",3.00,1412.53,0.42,3.00,1412.53,138.71,1.00
"THB 1,413.81 - THB 1,417.00",3.00,1415.08,0.84,3.00,1415.08,278.68,1.00
"THB 1,417.00 - THB 1,420.18",7.00,1419.38,2.27,7.00,1419.38,324.65,1.00
"THB 1,420.18 - THB 1,423.37",1.00,1427.92,0.00,1.00,1427.92,0.00,1.00
"THB 1,423.37 - THB 1,426.55",9.00,1425.68,1.50,9.00,1425.68,167.06,1.00
"THB 1,426.55 - THB 1,429.74",4.00,1429.80,1.10,4.00,1429.80,274.13,1.00
"THB 1,429.74 - THB 1,432.92",8.00,1432.86,0.96,6.00,1432.03,160.63,0.75
"THB 1,432.92 - THB 1,436.10",10.00,1435.66,2.28,10.00,1435.66,227.64,1.00
"THB 1,436.10 - THB 1,439.29",5.00,1439.70,0.45,5.00,1439.70,90.82,1.00
"THB 1,439.29 - THB 1,442.47",5.00,1443.18,1.08,5.00,1443.18,216.15,1.00
"THB 1,442.47 - THB 1,445.66",3.00,1446.84,0.40,3.00,1446.84,133.75,1.00
"THB 1,445.66 - THB 1,448.84",4.00,1449.79,0.67,3.00,1448.76,224.59,0.75
"THB 1,448.84 - THB 1,452.03",5.00,1453.33,0.45,5.00,1453.33,89.37,1.00
"THB 1,452.03 - THB 1,455.21",7.00,1453.80,0.47,7.00,1453.80,67.25,1.00
"THB 1,455.21 - THB 1,458.39",5.00,1458.16,0.43,5.00,1458.16,86.76,1.00
"THB 1,458.39 - THB 1,461.58",7.00,1463.14,0.26,5.00,1462.07,51.07,0.71
"THB 1,461.58 - THB 1,464.76",4.00,1465.33,0.26,4.00,1465.33,63.78,1.00
"THB 1,464.76 - THB 1,467.95",5.00,1467.71,2.26,4.00,1468.44,564.26,0.80
"THB 1,467.95 - THB 1,471.13",5.00,1471.48,1.03,5.00,1471.48,205.74,1.00
"THB 1,471.13 - THB 1,474.32",3.00,1472.72,0.69,3.00,1472.72,230.00,1.00
"THB 1,474.32 - THB 1,477.50",2.00,1478.44,0.41,2.00,1478.44,205.99,1.00
"THB 1,477.50 - THB 1,480.68",4.00,1480.46,1.50,4.00,1480.46,374.09,1.00
"THB 1,480.68 - THB 1,483.87",4.00,1482.69,0.29,4.00,1482.69,72.64,1.00
"THB 1,483.87 - THB 1,487.05",9.00,1486.94,2.46,8.00,1486.60,307.47,0.89
"THB 1,487.05 - THB 1,490.24",3.00,1493.62,0.46,3.00,1493.62,153.90,1.00
"THB 1,490.24 - THB 1,493.42",6.00,1495.74,0.92,5.00,1495.27,184.24,0.83
"THB 1,493.42 - THB 1,496.61",6.00,1497.86,1.11,5.00,1497.38,221.16,0.83
"THB 1,496.61 - THB 1,499.79",4.00,1499.48,0.19,3.00,1498.39,63.68,0.75
"THB 1,499.79 - THB 1,502.97",2.00,1500.62,0.22,2.00,1500.62,110.23,1.00
"THB 1,502.97 - THB 1,506.16",1.00,1504.24,0.06,1.00,1504.24,63.63,1.00
"THB 1,506.16 - THB 1,509.34",3.00,1513.84,0.35,1.00,1513.65,352.03,0.33
"THB 1,509.34 - THB 1,512.53",5.00,1513.92,1.01,5.00,1513.92,202.29,1.00
"THB 1,512.53 - THB 1,515.71",2.00,1514.68,0.86,2.00,1514.68,431.15,1.00
"THB 1,515.71 - THB 1,518.90",6.00,1519.19,1.05,6.00,1519.19,175.31,1.00
"THB 1,518.90 - THB 1,522.08",2.00,1523.46,0.13,2.00,1523.46,63.78,1.00
"THB 1,522.08 - THB 1,525.26",1.00,1525.09,0.06,1.00,1525.09,63.72,1.00
"THB 1,525.26 - THB 1,528.45",2.00,1529.66,0.13,2.00,1529.66,64.14,1.00
"THB 1,528.45 - THB 1,531.63",6.00,1533.39,1.27,5.00,1533.32,254.29,0.83
"THB 1,531.63 - THB 1,534.82",7.00,1533.90,0.48,6.00,1534.07,79.79,0.86
"THB 1,534.82 - THB 1,538.00",4.00,1537.65,0.59,4.00,1537.65,147.08,1.00
"THB 1,538.00 - THB 1,541.18",3.00,1540.55,0.83,3.00,1540.55,275.21,1.00
"THB 1,541.18 - THB 1,544.37",10.00,1543.89,0.78,10.00,1543.89,78.44,1.00
"THB 1,544.37 - THB 1,547.55",10.00,1549.49,4.03,8.00,1549.51,504.00,0.80
"THB 1,547.55 - THB 1,550.74",7.00,1551.73,0.32,6.00,1551.41,53.17,0.86
"THB 1,550.74 - THB 1,553.92",2.00,1554.58,0.59,2.00,1554.58,296.65,1.00
"THB 1,553.92 - THB 1,557.11",1.00,1556.53,0.81,1.00,1556.53,814.97,1.00
"THB 1,557.11 - THB 1,560.29",3.00,1560.80,0.65,3.00,1560.80,217.64,1.00
"THB 1,560.29 - THB 1,563.47",2.00,1562.60,0.13,2.00,1562.60,63.70,1.00
"THB 1,563.47 - THB 1,566.66",3.00,1566.84,0.34,3.00,1566.84,114.58,1.00
"THB 1,566.66 - THB 1,569.84",5.00,1569.37,0.56,5.00,1569.37,112.10,1.00
"THB 1,569.84 - THB 1,573.03",2.00,1574.15,0.74,2.00,1574.15,368.80,1.00
"THB 1,573.03 - THB 1,576.21",8.00,1574.84,1.17,8.00,1574.84,146.11,1.00
"THB 1,576.21 - THB 1,579.40",5.00,1578.46,0.65,5.00,1578.46,129.49,1.00
"THB 1,579.40 - THB 1,582.58",2.00,1585.02,0.93,2.00,1585.02,466.76,1.00
"THB 1,582.58 - THB 1,585.76",3.00,1586.43,0.37,3.00,1586.43,124.22,1.00
"THB 1,585.76 - THB 1,588.95",5.00,1588.24,0.25,4.00,1587.37,63.68,0.80
"THB 1,588.95 - THB 1,592.13",6.00,1592.52,1.18,6.00,1592.52,196.69,1.00
"THB 1,592.13 - THB 1,595.32",1995.00,2616.86,446.28,1983.00,2618.79,225.05,0.99